username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
realDonaldTrump,12/30/2016,20482,75371,,,,,,"""Russians are playing @CNN and @NBCNews for such fools - funny to watch they don't have a clue! @FoxNews totally gets it!"";;@CNN @NBCNews @FoxNews;;""814958820980039681"";https://twitter.com/realDonaldTrump/status/814958820980039681",0.083333333,18154033
realDonaldTrump,12/30/2016,6558,22615,,,,,,"""Join @AmerIcan32  founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington D.C. http://www. amer-i-can.org pic.twitter.com/XwSmQVFuoM"";;@AmerIcan32 @JimBrownNFL32;;""814920722208296960"";https://twitter.com/realDonaldTrump/status/814920722208296960",0,18154033
realDonaldTrump,12/30/2016,30792,86855,,,,"""814919370711461890""",https://twitter.com/realDonaldTrump/status/814919370711461890,"""Great move on delay (by V. Putin) - I always knew he was very smart!""",0.539285714,18154033
realDonaldTrump,12/29/2016,10023,40900,,,,"""814484710025994241""",https://twitter.com/realDonaldTrump/status/814484710025994241,"""My Administration will follow two simple rules: https:// instagram.com/p/BOmuafXjnVB/""",0,18096271
realDonaldTrump,12/28/2016,12371,46633,,,,"""814231064847728640""",https://twitter.com/realDonaldTrump/status/814231064847728640,"""'Economists say Trump delivered hope' http://www. politico.com/story/2016/12/ donald-trump-economy-consumer-confidence-233011 âÃÂ¶""",0,18028988
realDonaldTrump,12/28/2016,30639,106782,,,,,,"""not anymore. The beginning of the end was the horrible Iran deal and now this (U.N.)! Stay strong Israel January 20th is fast approaching!"";;;;""814114980983427073"";https://twitter.com/realDonaldTrump/status/814114980983427073",-0.091666667,18028988
realDonaldTrump,12/28/2016,26886,97047,,,,,,"""We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S. but......."";;;;""814113616110751744"";https://twitter.com/realDonaldTrump/status/814113616110751744",0.266666667,18028988
realDonaldTrump,12/28/2016,28069,106321,,,,"""814110460761018368""",https://twitter.com/realDonaldTrump/status/814110460761018368,"""Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!""",0.633333333,18028988
realDonaldTrump,12/27/2016,16806,70686,,,,,,"""The U.S. Consumer Confidence Index for December surged nearly four points to 113.7 THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!"";;;;""813945096269860866"";https://twitter.com/realDonaldTrump/status/813945096269860866",0.266666667,17968705
realDonaldTrump,12/27/2016,20524,90153,,,,,,"""President Obama campaigned hard (and personally) in the very important swing states and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!"";;;;""813865160163098628"";https://twitter.com/realDonaldTrump/status/813865160163098628",0.257083333,17968705
realDonaldTrump,12/26/2016,13953,61233,,,,,,"""The DJT Foundation unlike most foundations never paid fees rent salaries or any expenses. 100% of money goes to wonderful charities!"";;;;""813581917215977473"";https://twitter.com/realDonaldTrump/status/813581917215977473",0.75,17917287
realDonaldTrump,12/26/2016,15520,64697,,,,,,"""I gave millions of dollars to DJT Foundation raised or recieved millions more ALL of which is given to charity and media won't report!"";;;;""813578484572450816"";https://twitter.com/realDonaldTrump/status/813578484572450816",0.5,17917287
realDonaldTrump,12/26/2016,26554,116131,,,,"""813527932165558273""",https://twitter.com/realDonaldTrump/status/813527932165558273,"""The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!""",0.1,17917287
realDonaldTrump,12/26/2016,19673,70020,,,,,,"""The United Nations has such great potential but right now it is just a club for people to get together talk and have a good time. So sad!"";;;;""813500123053490176"";https://twitter.com/realDonaldTrump/status/813500123053490176",0.357142857,17917287
realDonaldTrump,12/26/2016,19598,82235,,,,,,"""President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving ISIS OCare etc."";;;;""813498739923054593"";https://twitter.com/realDonaldTrump/status/813498739923054593",0,17917287
realDonaldTrump,12/25/2016,44214,193167,,,,,,"""Merry Christmas and a very very very  very Happy New Year to everyone!"";;;;""813079058896535552"";https://twitter.com/realDonaldTrump/status/813079058896535552",0.568181818,17868253
realDonaldTrump,12/25/2016,37329,137653,,,#MerryChristmas,"""813003030186622976""",https://twitter.com/realDonaldTrump/status/813003030186622976,"""#MerryChristmas pic.twitter.com/5GgDmJrGMS""",0,17868253
realDonaldTrump,12/24/2016,19266,76140,,,#Hanukkah,"""812775995837218816""",https://twitter.com/realDonaldTrump/status/812775995837218816,"""Happy #Hanukkah pic.twitter.com/UvZwtykV1E""",0.8,17814112
realDonaldTrump,12/24/2016,17472,75396,,,,,,"""The big loss yesterday for Israel in the United Nations will make it much harder to negotiate peace.Too bad but we will get it done anyway!"";;;;""812773204561379330"";https://twitter.com/realDonaldTrump/status/812773204561379330",-0.266666667,17814112
realDonaldTrump,12/24/2016,14618,56150,,@NBCNews,,"""812764662500622336""",https://twitter.com/realDonaldTrump/status/812764662500622336,""". @NBCNews purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes."" Dishonest!""",-0.1,17814112
realDonaldTrump,12/23/2016,27608,100503,,,,,,"""Vladimir Putin said today about Hillary and Dems: ""In my opinion it is humiliating. One must be able to lose with dignity."" So true!"";;;;""812450976670121985"";https://twitter.com/realDonaldTrump/status/812450976670121985",0.5,17734172
realDonaldTrump,12/23/2016,15587,58292,,,,,,"""slaughter you. This is a purely religious threat which turned into reality. Such hatred! When will the U.S. and all countries fight back?"";;;;""812408189492797442"";https://twitter.com/realDonaldTrump/status/812408189492797442",0,17734172
realDonaldTrump,12/23/2016,16373,45412,,,,,,"""The terrorist who killed so many people in Germany said just before crime ""by God's will we will slaughter you pigs I swear we will......"";;;;""812406855469252608"";https://twitter.com/realDonaldTrump/status/812406855469252608",0.15,17734172
realDonaldTrump,12/23/2016,29891,88270,,,,,,"""As to the U.N. things will be different after Jan. 20th."";;;;""812390964740427776"";https://twitter.com/realDonaldTrump/status/812390964740427776",0,17734172
realDonaldTrump,12/23/2016,12858,57975,,,,,,"""my presidency. Isn't this a ridiculous shame? He loves these kids has raised millions of dollars for them and now must stop. Wrong answer!"";;;;""812266152684650496"";https://twitter.com/realDonaldTrump/status/812266152684650496",-0.416666667,17734172
realDonaldTrump,12/23/2016,13725,48431,,,,,,"""My wonderful son Eric will no longer be allowed to raise money for children with cancer because of a possible conflict of interest with..."";;;;""812264762981675008"";https://twitter.com/realDonaldTrump/status/812264762981675008",0.5,17734172
realDonaldTrump,12/22/2016,27521,107817,,,,,,"""The so-called ""A"" list celebrities are all wanting tixs to the inauguration but look what they did for Hillary NOTHING. I want the PEOPLE!"";;;;""812115501791006720"";https://twitter.com/realDonaldTrump/status/812115501791006720",0,17677611
realDonaldTrump,12/22/2016,13177,56137,,,,,,"""Based on the tremendous cost and cost overruns of the Lockheed Martin F-35 I have asked Boeing to price-out a comparable F-18 Super Hornet!"";;;;""812061677160202240"";https://twitter.com/realDonaldTrump/status/812061677160202240",0.333333333,17677611
realDonaldTrump,12/22/2016,18779,65507,,,,"""811977223326625792""",https://twitter.com/realDonaldTrump/status/811977223326625792,"""The United States must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes""",0.4,17677611
realDonaldTrump,12/22/2016,16977,66263,,,,,,"""Someone incorrectly stated that the phrase ""DRAIN THE SWAMP"" was no longer being used by me. Actually we will always be trying to DTS."";;;;""811975049431416832"";https://twitter.com/realDonaldTrump/status/811975049431416832",0,17677611
realDonaldTrump,12/22/2016,9163,32030,,,,"""811928543366148096""",https://twitter.com/realDonaldTrump/status/811928543366148096,"""The resolution being considered at the United Nations Security Council regarding Israel should be vetoed....cont: https://www. facebook.com/DonaldTrump/po sts/10158338539250725 âÃÂ¶""",0,17677611
realDonaldTrump,12/21/2016,11541,59249,,,,,,"""I met some really great Air Force GENERALS and Navy ADMIRALS today talking about airplane capability and pricing. Very impressive people!"";;;;""811778176120668160"";https://twitter.com/realDonaldTrump/status/811778176120668160",0.9,17632675
realDonaldTrump,12/21/2016,17996,73982,,,,"""811564284706689024""",https://twitter.com/realDonaldTrump/status/811564284706689024,"""I have not heard any of the pundits or commentators discussing the fact that I spent FAR LESS MONEY on the win than Hillary on the loss!""",0.158333333,17632675
realDonaldTrump,12/21/2016,10835,48837,,,,,,"""I would have done even better in the election if that is possible if the winner was based on popular vote - but would campaign differently"";;;;""811562990285848576"";https://twitter.com/realDonaldTrump/status/811562990285848576",0.366666667,17632675
realDonaldTrump,12/21/2016,14278,61580,,,,"""811560662853939200""",https://twitter.com/realDonaldTrump/status/811560662853939200,"""Campaigning to win the Electoral College is much more difficult & sophisticated than the popular vote. Hillary focused on the wrong states!""",0.233333333,17632675
realDonaldTrump,12/20/2016,13967,61694,,,,,,"""Yes it is true - Carlos Slim the great businessman from Mexico called me about getting together for a meeting. We met HE IS A GREAT GUY!"";;;;""811307169043849216"";https://twitter.com/realDonaldTrump/status/811307169043849216",0.65,17576277
realDonaldTrump,12/20/2016,7867,37850,,,,,,"""especially how to get people even with an unlimited budget out to vote in the vital swing states ( and more). They focused on wrong states"";;;;""811196778779463684"";https://twitter.com/realDonaldTrump/status/811196778779463684",0.025,17576277
realDonaldTrump,12/20/2016,16501,70903,,,,,,"""Bill Clinton stated that I called him after the election. Wrong he called me (with a very nice congratulations). He ""doesn't know much"" ..."";;;;""811195441710764032"";https://twitter.com/realDonaldTrump/status/811195441710764032",0.16,17576277
realDonaldTrump,12/19/2016,13677,66902," officially elected President of the United States today by the Electoral College!""""",,@mike_pence @RealDonaldTrump,,"""811041034323054592""",""""" @mike_pence : Congratulations to @RealDonaldTrump ",0,17512664
realDonaldTrump,12/19/2016,9428,45122,,@Franklin_Graham @realDonaldTrump,,"""811039925571354624""",https://twitter.com/realDonaldTrump/status/811039925571354624,""""" @Franklin_Graham : Congratulations to President-elect @realDonaldTrump --the electoral votes are in and it's official."" Thank you Franklin!""",0,17512664
realDonaldTrump,12/19/2016,52401,203087,,,,,,"""We did it! Thank you to all of my great supporters we just officially won the election (despite all of the distorted and inaccurate media)."";;;;""810996052241293312"";https://twitter.com/realDonaldTrump/status/810996052241293312",0.8,17512664
realDonaldTrump,12/19/2016,34159,101607,,,,,,"""Today there were terror attacks in Turkey Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!"";;;;""810988379051610112"";https://twitter.com/realDonaldTrump/status/810988379051610112",0,17512664
realDonaldTrump,12/18/2016,32073,121774,,,,,,"""If my many supporters acted and threatened people like those who lost the election are doing they would be scorned & called terrible names!"";;;;""810604216771284992"";https://twitter.com/realDonaldTrump/status/810604216771284992",-0.25,17442499
realDonaldTrump,12/17/2016,15937,58782,,,,"""810288321880555520""",https://twitter.com/realDonaldTrump/status/810288321880555520,"""We should tell China that we don't want the drone they stole back.- let them keep it!""",0,17384065
realDonaldTrump,12/17/2016,11636,49939,,,,,,"""Thank you Alabama! From now on itâÃÃ´s going to be #AmericaFirst . Our goal is to bring back that wonderful phrase: #MadeInTheUSA ! pic.twitter.com/O3RBYD2dT3"";;;#AmericaFirst #MadeInTheUSA;""810276411177107456"";https://twitter.com/realDonaldTrump/status/810276411177107456",0.5,17384065
realDonaldTrump,12/17/2016,17162,54451,,,,"""810121703288410112""",https://twitter.com/realDonaldTrump/status/810121703288410112,"""China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.""",0.3,17384065
realDonaldTrump,12/17/2016,7343,36413,,,,,,"""Mobile Alabama today at 3:00 P.M. Last rally of the year - ""THANK YOU ALABAMA AND THE SOUTH"" Biggest of all crowds expected see you there!"";;;;""810112407309844480"";https://twitter.com/realDonaldTrump/status/810112407309844480",-0.05,17384065
realDonaldTrump,12/17/2016,6347,31722,,@EazyMF_E @realDonaldTrump,#MakeAmericaGreatAgain,"""810109131537481728""",https://twitter.com/realDonaldTrump/status/810109131537481728,""""" @EazyMF_E : @realDonaldTrump Many people are now saying you will be an extremely successful president! #MakeAmericaGreatAgain "" Thank you!""",0.625,17384065
realDonaldTrump,12/17/2016,5724,32623,,,,,,"""Last night in Orlando Florida was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!"";;;;""810108542921408512"";https://twitter.com/realDonaldTrump/status/810108542921408512",0.225,17384065
realDonaldTrump,12/16/2016,9898,39305,,,#ICYMI,"""809969373754654721""",https://twitter.com/realDonaldTrump/status/809969373754654721,"""Thank you Florida. My Administration will follow two simple rules: BUY AMERICAN and HIRE AMERICAN! #ICYMI - Watch: https://www. facebook.com/DonaldTrump/vi deos/10158310632295725/ âÃÂ¶ pic.twitter.com/OawesIeUjB""",0,17345004
realDonaldTrump,12/16/2016,6328,25054,,,,,,"""#ThankYouTour2016 Tonight- Orlando Florida Tickets: http:// bit.ly/2gpz8goFLORIDA Tomorrow- Mobile Alabama Tickets: http:// bit.ly/2gpwhwcALABAMA pic.twitter.com/udCCmET1jU âÃÃ¬ bei Trump Tower"";;;#ThankYouTour2016;""809803893920165892"";https://twitter.com/realDonaldTrump/status/809803893920165892",0,17345004
realDonaldTrump,12/16/2016,16127,63712,,,,,,"""Well we all did it together! I hope the ""MOVEMENT"" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!"";;;;""809790978332786689"";https://twitter.com/realDonaldTrump/status/809790978332786689",0,17345004
realDonaldTrump,12/16/2016,29235,97663,,,,"""809717035353722880""",https://twitter.com/realDonaldTrump/status/809717035353722880,"""Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?""",-0.25,17345004
realDonaldTrump,12/15/2016,7953,34521,,,,,,"""Thank you Pennsylvania! Together we are going to MAKE AMERICA GREAT AGAIN! Watch here: https://www. facebook.com/DonaldTrump/vi deos/10158305240145725/ âÃÂ¶ #ThankYouTour2016 pic.twitter.com/Odd2JSTvkn"";;;#ThankYouTour2016;""809571983428120577"";https://twitter.com/realDonaldTrump/status/809571983428120577",0.8,17306794
realDonaldTrump,12/15/2016,5002,20042,,,,,,"""Join me in Mobile Alabama on Sat. at 3pm! #ThankYouTour2016 Tickets: http:// bit.ly/2gpwhwcALABAMA pic.twitter.com/opKrWO4k0C"";;;#ThankYouTour2016;""809525257371578369"";https://twitter.com/realDonaldTrump/status/809525257371578369",0,17306794
realDonaldTrump,12/15/2016,35754,111406,,,,,,"""If Russia or some other entity was hacking why did the White House wait so long to act? Why did they only complain after Hillary lost?"";;;;""809403760099422208"";https://twitter.com/realDonaldTrump/status/809403760099422208",-0.04375,17306794
